1,2,3,4,5,6,7,8,9,10,11,12,13,14
0,0.02938,0.05029,0.01579,0.02029,0.00449,0.05454,0.07115,0.04655,0.02552,0.00407,0.03444,0.05472,0.02475
0.02938,0,0.03745,0.0281,0.04974,0.01418,0.06534,0.05992,0.05371,0.03802,0.00849,0.02888,0.05614,0.03079
0.05029,0.03745,0,0.01878,0.06331,0.03541,0.04422,0.04388,0.0364,0.03539,0.0272,0.03083,0.0779,0.04112
0.01579,0.0281,0.01878,0,0.02135,0.01393,0.03208,0.02738,0.02847,0.02149,0.00496,0.02267,0.04509,0.02027
0.02029,0.04974,0.06331,0.02135,0,0.01271,0.05055,0.04896,0.04087,0.02436,0.02279,0.03426,0.03536,0.02758
0.00449,0.01418,0.03541,0.01393,0.01271,0,0.04585,0.04942,0.03124,0.01202,0,0.01582,0.05103,0.02334
0.05454,0.06534,0.04422,0.03208,0.05055,0.04585,0,0.0484,0.04063,0.04526,0.04269,0.03971,0.03523,0.04181
0.07115,0.05992,0.04388,0.02738,0.04896,0.04942,0.0484,0,0.055,0.06713,0.05558,0.06543,0.04634,0.03442
0.04655,0.05371,0.0364,0.02847,0.04087,0.03124,0.04063,0.055,0,0.02252,0.02449,0.04025,0.0656,0.04342
0.02552,0.03802,0.03539,0.02149,0.02436,0.01202,0.04526,0.06713,0.02252,0,0.01336,0.04204,0.06914,0.05075
0.00407,0.00849,0.0272,0.00496,0.02279,0,0.04269,0.05558,0.02449,0.01336,0,0.01209,0.04697,0.02355
0.03444,0.02888,0.03083,0.02267,0.03426,0.01582,0.03971,0.06543,0.04025,0.04204,0.01209,0,0.04834,0.02634
0.05472,0.05614,0.0779,0.04509,0.03536,0.05103,0.03523,0.04634,0.0656,0.06914,0.04697,0.04834,0,0.02522
0.02475,0.03079,0.04112,0.02027,0.02758,0.02334,0.04181,0.03442,0.04342,0.05075,0.02355,0.02634,0.02522,0