ind,pop,quadrat,plant,lon,lat,loc1,loc2,loc3,loc4,loc5,loc6,loc7,loc8,loc9
QLL1-1-29,QLL1,1,29,43.6303,-76.946,198:198,101:128,236:249,206:206,217:225,199:199,140:142,132:132,178:196
QLL1-1-30,QLL1,1,30,44.9496,-75.4028,198:198,96:101,228:245,204:208,217:233,201:201,144:146,132:132,192:196
QLL1-1-7,QLL1,1,7,44.9496,-75.4028,198:198,96:128,213:222,208:208,229:233,199:199,142:144,132:132,190:204
QLL1-1-8,QLL1,1,8,45.2124,-77.1373,198:216,106:106,238:238,208:208,245:245,199:199,146:150,124:132,200:200
QLL1-1-9,QLL1,1,9,45.2124,-77.1373,198:198,106:112,234:238,208:208,229:237,199:199,140:144,132:132,190:194
QLL1-1-N10,QLL1,1,N10,44.1692,-77.8021,198:198,106:106,238:251,208:210,227:229,199:199,144:144,132:135,194:194
QLL1-1-N11,QLL1,1,N11,44.1692,-77.8021,198:198,96:106,211:228,208:208,227:227,201:201,144:144,132:138,192:200
QLL1-1-N12,QLL1,1,N12,44.5141,-75.1834,198:198,96:128,209:228,196:210,227:247,199:201,144:144,132:132,190:200
QLL1-1-N13,QLL1,1,N13,44.5141,-75.1834,198:198,96:96,228:253,208:212,227:233,199:199,144:144,132:132,200:200
QLL1-2-2A,QLL1,2,2A,43.9588,-78.1396,198:198,96:106,238:241,206:208,221:231,197:201,140:144,122:132,190:200
QLL1-2-2B,QLL1,2,2B,43.9588,-78.1396,198:198,96:96,209:213,198:204,243:243,199:199,144:144,122:122,196:196
QLL1-2-2C,QLL1,2,2C,45.5643,-75.4422,198:198,106:106,238:241,196:210,227:239,197:199,140:144,132:138,200:200
QLL1-2-2D,QLL1,2,2D,45.5643,-75.4422,198:198,117:128,228:236,208:210,231:239,199:199,144:146,132:132,198:198
QLL1-2-2E,QLL1,2,2E,45.4921,-75.974,198:200,106:106,230:232,206:208,229:237,199:199,144:144,132:132,184:198
QLL1-2-2F,QLL1,2,2F,45.4921,-75.974,198:198,96:96,241:241,206:206,229:231,201:201,144:146,124:132,198:200
QLL1-2-2G,QLL1,2,2G,44.0049,-78.6004,198:200,106:112,209:240,198:206,225:229,199:199,144:146,124:132,198:200
QLL1-2-2H,QLL1,2,2H,44.0049,-78.6004,198:200,106:128,209:243,196:202,229:239,201:201,144:146,128:132,188:188
QLL1-2-2I,QLL1,2,2I,43.8437,-77.6574,186:190,96:106,234:253,196:206,233:245,201:201,146:146,122:132,192:200
QLL1-2-2J,QLL1,2,2J,43.8437,-77.6574,198:198,106:112,213:253,194:196,217:253,199:201,144:144,122:122,194:196
QLL1-2-2K,QLL1,2,2K,47.5262,-75.3639,200:200,106:106,228:251,208:210,225:225,199:201,144:144,132:132,190:192
QLL1-2-2L,QLL1,2,2L,47.5262,-75.3639,198:198,96:96,228:228,196:196,233:233,201:201,146:146,132:132,184:184
QLL1-2-2M,QLL1,2,2M,43.8542,-76.8155,198:198,112:128,209:247,206:206,237:239,199:201,144:144,132:132,190:190
QLL1-2-2N,QLL1,2,2N,43.8542,-76.8155,198:198,96:106,234:240,198:206,237:243,199:201,140:144,122:132,190:200
QLL1-2-2P,QLL1,2,2P,45.3626,-75.7585,198:198,96:96,228:240,198:208,239:243,201:201,144:144,132:135,194:200
QLL1-2-2Q,QLL1,2,2Q,45.3626,-75.7585,198:198,96:96,240:245,196:206,235:243,199:201,144:144,124:132,194:200
QLL1-2-N22,QLL1,2,N22,44.8678,-75.6482,198:198,106:106,209:209,208:208,229:235,199:199,144:144,132:132,192:192
QLL1-2-N23,QLL1,2,N23,44.8678,-75.6482,198:198,106:112,232:234,206:208,229:233,201:201,144:146,135:135,196:196
QLL1-2-N24,QLL1,2,N24,43.7095,-75.7391,198:198,106:112,213:253,194:196,217:217,199:201,144:144,122:122,194:194
QLL1-2-N25,QLL1,2,N25,43.7095,-75.7391,198:212,106:112,234:255,NA,225:227,199:201,146:146,122:132,200:200
QLL3-1-1,QLL3,1,1,44.4326,-78.9195,186:198,106:106,209:234,196:210,229:229,201:201,144:146,132:132,184:192
QLL3-1-10,QLL3,1,10,44.4326,-78.9195,198:198,112:112,215:251,204:204,215:233,199:199,140:140,132:135,NA
QLL3-1-11,QLL3,1,11,45.3678,-75.1457,198:200,96:106,215:215,206:208,247:247,201:201,144:144,132:135,198:198
QLL3-1-14,QLL3,1,14,45.3678,-75.1457,198:200,96:106,209:215,208:208,229:253,199:199,144:146,132:135,192:192
QLL3-1-16,QLL3,1,16,44.7334,-75.8969,198:198,96:96,232:251,208:208,213:231,199:201,144:144,122:135,196:196
QLL3-1-17,QLL3,1,17,44.7334,-75.8969,200:200,96:96,232:232,208:210,231:235,201:201,140:140,122:132,192:192
QLL3-1-2,QLL3,1,2,44.5363,-76.0515,186:198,96:106,234:236,198:198,235:243,201:201,144:144,132:132,184:196
QLL3-1-3*,QLL3,1,3*,44.5363,-76.0515,184:198,96:106,249:251,210:210,203:203,201:201,140:144,132:135,190:190
QLL3-1-32*,QLL3,1,32*,44.8485,-76.0842,190:190,96:96,251:251,208:208,229:251,201:201,144:146,132:132,192:192
QLL3-1-4*,QLL3,1,4*,44.8485,-76.0842,198:198,96:106,213:215,208:210,229:229,199:199,140:144,132:132,192:192
QLL3-1-46,QLL3,1,46,43.5246,-76.6849,198:198,96:101,234:238,208:208,229:235,201:201,144:146,135:138,190:200
QLL3-1-47,QLL3,1,47,43.5246,-76.6849,198:198,96:96,234:240,210:210,233:237,197:205,144:146,128:132,190:192
QLL3-1-48,QLL3,1,48,44.3859,-76.3092,198:198,106:106,234:251,198:198,235:235,199:201,144:144,132:132,192:196
QLL3-1-52,QLL3,1,52,44.3859,-76.3092,200:200,96:96,226:238,200:200,235:239,201:201,144:146,132:138,190:194
QLL3-1-54,QLL3,1,54,45.0877,-75.287,198:200,96:106,209:213,190:190,235:249,197:197,144:144,132:132,192:194
QLL3-1-6*,QLL3,1,6*,45.0877,-75.287,198:198,96:112,234:234,198:208,239:239,201:201,140:142,132:135,190:190
QLL3-1-7,QLL3,1,7,45.9858,-78.2165,198:198,96:106,228:232,212:212,227:237,201:201,140:142,132:135,196:200
QLL3-1-9,QLL3,1,9,45.9858,-78.2165,198:198,96:112,234:251,198:208,237:237,201:201,144:144,135:135,184:192
QLL3-1-N10,QLL3,1,N10,43.6391,-75.2446,198:198,96:96,234:234,210:210,229:235,201:201,140:146,132:135,192:192
QLL3-1-N11,QLL3,1,N11,43.6391,-75.2446,198:198,96:96,215:232,198:208,221:229,201:201,144:146,132:132,192:192
QLL3-2-28,QLL3,2,28,43.7171,-76.2798,198:198,106:106,247:247,198:198,227:229,201:201,142:142,132:135,184:186
QLL3-2-29,QLL3,2,29,43.7171,-76.2798,198:198,96:96,213:251,208:208,229:233,201:201,140:142,122:135,196:204
QLL3-2-30,QLL3,2,30,42.9534,-77.0881,198:198,96:106,213:247,200:200,225:235,203:203,142:144,122:122,196:196
QLL3-2-31,QLL3,2,31,42.9534,-77.0881,198:198,96:96,209:209,176:208,231:231,199:201,142:144,132:132,194:198
QLL3-2-32,QLL3,2,32,45.286,-76.4241,188:188,128:128,230:238,204:208,235:235,201:201,144:144,135:135,196:196
QLL3-2-35,QLL3,2,35,45.286,-76.4241,198:198,96:128,213:234,198:208,227:229,199:199,144:144,132:135,196:196
QLL3-2-36,QLL3,2,36,45.8184,-75.6806,198:200,101:128,213:213,208:210,227:227,199:199,140:144,135:135,196:196
QLL3-2-38,QLL3,2,38,45.8184,-75.6806,198:198,96:96,232:234,190:208,227:227,199:201,140:144,132:132,190:190
QLL3-2-39,QLL3,2,39,43.6426,-77.6405,198:198,96:96,209:234,198:208,213:231,201:201,140:142,132:132,196:196
QLL3-2-41,QLL3,2,41,43.6426,-77.6405,188:198,96:128,209:238,212:212,213:227,199:201,NA,132:135,184:184
QLL3-2-43,QLL3,2,43,45.3952,-76.404,198:198,106:106,234:245,208:208,221:233,199:201,144:144,132:135,200:200
QLL3-2-44,QLL3,2,44,45.3952,-76.404,198:200,106:106,209:215,210:212,229:239,199:199,140:142,135:145,196:196
QLL3-2-61,QLL3,2,61,44.6781,-79.4205,200:200,96:106,209:232,198:202,229:243,199:199,144:146,132:132,194:200
QLL3-2-62,QLL3,2,62,44.6781,-79.4205,198:198,96:96,213:213,180:210,227:227,201:201,144:144,135:135,194:194
QLL3-2-N27*,QLL3,2,N27*,44.7829,-78.465,198:198,106:106,230:230,208:210,229:229,201:201,146:146,135:135,202:202
QLL3-2-N29,QLL3,2,N29,44.7829,-78.465,198:198,106:106,209:209,198:214,227:229,201:201,142:142,132:132,186:186
QLL3-2-N30,QLL3,2,N30,43.814,-76.8781,198:198,106:106,230:247,206:208,235:243,201:203,144:146,122:122,196:196
QLL3-2-N32,QLL3,2,N32,43.814,-76.8781,198:198,101:106,226:251,208:208,227:229,199:199,144:146,132:135,192:202
QLL3-2-N35,QLL3,2,N35,45.5784,-76.2179,198:198,96:128,213:234,198:208,227:229,199:199,144:144,132:135,196:196
QLL3-2-N38,QLL3,2,N38,45.5784,-76.2179,180:198,96:96,209:232,202:206,229:229,201:201,142:142,135:138,196:196
QRL1-1-1A,QRL1,1,1A,43.9593,-75.2862,198:198,96:112,211:249,198:210,249:257,201:201,144:144,135:138,188:200
QRL1-1-1B,QRL1,1,1B,43.9593,-75.2862,198:198,106:106,238:253,NA,249:251,201:201,144:144,132:132,186:194
QRL1-1-1E,QRL1,1,1E,44.1493,-75.8686,190:198,96:106,213:232,NA,227:229,201:201,144:144,128:132,202:202
QRL1-1-1F,QRL1,1,1F,44.1493,-75.8686,198:198,106:106,228:255,208:210,231:233,201:201,144:146,132:132,190:200
QRL1-1-1G,QRL1,1,1G,44.0888,-76.6553,186:198,96:106,213:228,196:196,229:247,199:201,146:146,122:132,196:196
QRL1-1-1H,QRL1,1,1H,44.0888,-76.6553,198:198,96:106,211:238,198:198,233:239,201:201,144:144,122:135,184:194
QRL1-1-1J,QRL1,1,1J,44.188,-76.7341,198:198,96:106,228:238,198:198,229:239,199:201,146:146,132:135,190:190
QRL1-1-1K,QRL1,1,1K,44.188,-76.7341,198:198,96:96,251:251,208:208,237:239,201:201,144:144,122:132,190:196
QRL1-1-1L,QRL1,1,1L,44.0356,-76.7029,198:198,106:106,238:238,208:208,235:237,199:199,144:146,122:132,184:190
QRL1-1-1M,QRL1,1,1M,44.0356,-76.7029,198:198,96:106,232:238,216:220,243:251,201:201,144:144,132:132,194:202
QRL1-1-1N,QRL1,1,1N,44.6641,-76.497,198:198,96:106,232:238,216:220,243:251,201:201,144:144,132:132,194:202
QRL1-1-1Oh,QRL1,1,1Oh,44.6641,-76.497,198:198,106:106,228:251,198:198,229:251,193:199,144:144,132:132,196:196
QRL1-1-1P,QRL1,1,1P,42.7232,-77.9395,198:198,96:96,213:238,218:218,249:251,201:201,144:146,132:132,188:192
QRL1-1-1Q,QRL1,1,1Q,42.7232,-77.9395,198:198,96:96,236:238,208:208,229:229,201:201,144:144,132:132,184:190
QRL1-1-1R,QRL1,1,1R,45.852,-77.3667,190:198,96:106,211:211,196:222,225:227,201:201,146:146,128:132,190:196
QRL1-1-1T,QRL1,1,1T,45.852,-77.3667,198:198,96:106,232:232,210:210,233:233,199:199,144:144,132:135,196:196
QRL1-1-85,QRL1,1,85,45.5867,-77.4289,198:198,96:106,217:238,206:208,233:237,199:201,144:146,122:132,190:192
QRL1-1-86,QRL1,1,86,45.5867,-77.4289,198:198,112:112,238:238,218:218,229:229,201:201,144:144,135:135,212:212
QRL1-1-87/1C,QRL1,1,87/1C,46.3172,-77.5848,198:198,96:112,209:228,184:210,229:229,201:201,144:144,135:135,186:190
QRL1-1-88/1D,QRL1,1,88/1D,46.3172,-77.5848,198:198,96:106,209:238,210:210,229:239,201:201,144:146,122:132,184:196
QRL1-2-15,QRL1,2,15,45.069,-75.0171,190:198,96:96,222:228,206:206,229:229,199:199,144:146,128:135,190:190
QRL1-2-17,QRL1,2,17,45.069,-75.0171,198:202,96:106,240:249,196:208,229:239,201:201,144:144,122:132,192:200
QRL1-2-19,QRL1,2,19,46.0972,-75.5608,198:198,106:106,209:209,198:208,229:237,201:201,146:146,132:132,NA
QRL1-2-21,QRL1,2,21,46.0972,-75.5608,198:204,96:112,224:249,206:208,235:249,199:201,144:144,132:135,200:200
QRL1-2-22,QRL1,2,22,43.9861,-74.4232,198:198,96:112,230:234,196:206,233:233,199:201,146:146,124:132,190:190
QRL1-2-23,QRL1,2,23,43.9861,-74.4232,198:198,106:106,213:213,206:206,229:229,201:201,144:144,138:138,192:192
QRL1-2-24,QRL1,2,24,44.0179,-76.12,198:198,96:112,234:253,204:206,229:229,201:201,144:146,122:132,200:200
QRL1-2-27,QRL1,2,27,44.0179,-76.12,198:198,96:112,228:238,200:206,213:239,201:201,140:146,122:132,194:194
QRL1-2-28,QRL1,2,28,44.0588,-76.8546,198:198,96:112,228:228,206:206,239:239,201:201,144:144,132:135,198:198
QRL1-2-2A,QRL1,2,2A,44.0588,-76.8546,190:204,101:106,238:238,204:204,229:229,201:201,140:144,122:132,186:200
QRL1-2-2B,QRL1,2,2B,44.0893,-75.5966,198:202,96:106,238:249,198:210,225:229,201:201,144:144,132:138,192:192
QRL1-2-2C,QRL1,2,2C,44.0893,-75.5966,198:198,106:106,236:238,210:210,227:229,201:201,146:146,132:132,184:190
QRL1-2-2D,QRL1,2,2D,44.8204,-77.7666,198:198,96:106,234:253,206:208,227:233,201:201,140:146,132:132,190:200
QRL1-2-2E,QRL1,2,2E,44.8204,-77.7666,198:198,106:106,240:240,208:210,213:239,201:201,140:144,132:135,190:196
QRL1-2-2F,QRL1,2,2F,44.9838,-76.7397,198:198,96:112,228:236,208:210,235:251,199:199,140:146,122:128,194:198
QRL1-2-53,QRL1,2,53,44.9838,-76.7397,198:198,101:106,217:224,196:208,227:241,201:201,146:146,132:135,182:182
QRL1-2-54,QRL1,2,54,44.7983,-76.9875,198:198,106:106,241:251,206:206,239:241,201:201,146:146,118:132,198:204
QRL1-2-55,QRL1,2,55,44.7983,-76.9875,198:198,106:106,247:249,196:208,229:229,199:199,144:144,132:132,200:200
QRL1-2-56,QRL1,2,56,44.403,-74.3908,198:198,106:112,213:234,206:208,229:233,201:201,144:144,122:132,200:206
QRL1-2-58,QRL1,2,58,44.403,-74.3908,198:198,96:106,236:240,206:206,223:223,201:201,144:144,128:135,186:196
QRL2-1-13,QRL2,1,13,45.7141,-76.5934,188:188,96:96,232:234,206:206,243:243,201:201,144:144,132:132,190:190
QRL2-1-3,QRL2,1,3,45.7141,-76.5934,186:198,96:112,241:241,196:206,227:245,199:201,144:146,122:132,190:190
QRL2-1-30,QRL2,1,30,45.5256,-76.5196,198:202,96:106,238:238,196:208,229:247,199:199,144:146,132:132,184:184
QRL2-1-3C,QRL2,1,3C,45.5256,-76.5196,198:198,96:96,224:232,208:208,229:231,201:201,146:146,132:132,184:198
QRL2-1-3D,QRL2,1,3D,45.1203,-76.16,198:198,96:96,217:224,200:210,229:235,201:201,140:144,132:135,184:188
QRL2-1-3E,QRL2,1,3E,45.1203,-76.16,198:198,112:112,240:241,NA,249:249,201:201,144:144,132:132,184:184
QRL2-1-3F,QRL2,1,3F,43.0985,-73.3955,198:198,106:106,241:241,198:198,221:237,199:199,144:144,132:132,190:190
QRL2-1-4,QRL2,1,4,43.0985,-73.3955,196:198,96:106,211:240,196:206,243:249,199:201,146:146,122:132,200:200
QRL2-1-43,QRL2,1,43,43.6538,-76.8344,198:198,96:96,238:253,196:196,229:245,199:199,144:146,128:132,190:198
QRL2-1-45,QRL2,1,45,43.6538,-76.8344,190:198,96:106,241:241,196:196,229:239,201:201,144:144,116:122,180:182
QRL2-1-46,QRL2,1,46,43.8139,-76.1892,198:198,101:106,209:238,198:206,221:227,201:201,144:144,128:135,190:192
QRL2-1-47,QRL2,1,47,43.8139,-76.1892,200:200,96:128,238:238,206:208,235:247,201:201,140:146,128:132,186:200
QRL2-1-48,QRL2,1,48,43.66,-76.791,194:198,106:128,232:234,206:206,227:231,201:201,140:144,128:132,198:202
QRL2-1-6,QRL2,1,6,43.66,-76.791,198:198,96:106,234:238,196:208,233:235,199:199,140:144,132:132,184:200
QRL2-1-52,QRL2,1,52,44.8809,-75.8115,198:198,106:106,230:249,196:196,217:217,NA,144:144,122:128,180:180
QRL2-1-7,QRL2,1,7,44.8809,-75.8115,198:198,96:106,209:209,206:206,235:235,201:201,140:144,116:122,194:194
QRL2-1-71,QRL2,1,71,44.1682,-75.5724,198:198,96:106,232:253,198:208,227:233,199:199,142:144,156:122,190:190
QRL2-1-74,QRL2,1,74,44.1682,-75.5724,188:198,106:106,230:251,196:206,213:229,201:201,144:144,122:132,196:196
QRL2-1-8,QRL2,1,8,45.6065,-77.2407,198:198,106:106,236:236,206:208,239:245,201:201,144:146,128:132,184:200
QRL2-1-9,QRL2,1,9,45.6065,-77.2407,198:198,106:112,228:232,200:208,213:213,199:199,140:144,124:132,202:202
QRL2-2-4A,QRL2,2,4A,42.9871,-76.6443,198:202,106:106,209:232,208:210,229:235,199:203,140:144,NA,194:200
QRL2-2-4B,QRL2,2,4B,42.9871,-76.6443,186:200,106:112,236:257,198:208,233:247,199:199,144:144,NA,192:192
QRL2-2-4C,QRL2,2,4C,43.3514,-76.741,188:188,96:106,234:234,196:196,247:247,199:199,144:144,138:138,190:190
QRL2-2-4D,QRL2,2,4D,43.3514,-76.741,198:202,106:106,213:249,196:202,237:243,201:201,144:146,132:132,184:184
QRL2-2-4E,QRL2,2,4E,45.4357,-76.7996,198:202,106:106,213:249,198:198,229:235,199:199,144:144,132:132,190:190
QRL2-2-4F,QRL2,2,4F,45.4357,-76.7996,198:200,96:106,232:243,196:208,233:235,199:199,140:146,132:132,190:204
QRL2-2-4H,QRL2,2,4H,44.4406,-77.5193,188:204,96:112,228:234,196:208,233:243,197:199,144:146,122:132,192:200
QRL2-2-4I,QRL2,2,4I,44.4406,-77.5193,198:198,106:106,213:213,208:208,225:237,203:203,144:144,132:132,178:178
QRL2-2-4G,QRL2,2,4G,44.7819,-77.0124,188:198,106:112,209:209,196:208,229:233,NA,146:146,132:132,190:190
QRL2-2-4J,QRL2,2,4J,44.7819,-77.0124,188:188,96:106,209:230,198:198,215:229,199:199,140:146,132:132,190:200
QRL2-2-4K,QRL2,2,4K,46.3262,-77.5794,198:200,96:106,228:238,198:210,229:233,199:199,142:146,122:132,184:190
QRL2-2-4L,QRL2,2,4L,46.3262,-77.5794,216:216,96:96,213:228,208:208,243:249,201:201,144:144,NA,196:200
QRL2-2-4M,QRL2,2,4M,44.5942,-74.7167,198:198,106:106,234:238,208:208,239:245,201:201,144:144,132:132,192:192
QRL2-2-4P,QRL2,2,4P,44.5942,-74.7167,198:198,96:96,234:251,208:210,227:235,201:201,144:144,128:132,190:202
QRL2-2-4R,QRL2,2,4R,44.3863,-75.2195,198:198,96:96,251:251,198:208,239:239,201:201,144:144,128:135,190:190
QRL2-2-4V,QRL2,2,4V,44.3863,-75.2195,180:198,96:106,211:228,196:210,233:237,201:201,142:146,132:132,190:192
QRL2-2-4W,QRL2,2,4W,44.4969,-75.8945,202:202,106:106,232:241,206:206,233:235,201:201,144:144,132:132,190:200
QRL2-2-4X,QRL2,2,4X,44.4969,-75.8945,192:198,96:112,238:238,208:210,225:239,201:201,144:146,122:132,184:190
QRL2-2-4S,QRL2,2,4S,45.1151,-75.9621,198:198,106:106,213:213,196:196,247:247,NA,144:144,122:135,202:202
QRL2-2-4Y,QRL2,2,4Y,45.1151,-75.9621,198:198,106:106,211:211,196:206,247:247,199:201,140:140,132:132,200:200
QTUR-1-1A,QTUR,1,1A,44.2758,-77.6448,196:198,96:96,234:234,198:210,229:229,199:201,140:144,128:132,190:190
QTUR-1-1B,QTUR,1,1B,44.2758,-77.6448,198:198,96:96,234:249,198:204,227:229,199:199,144:144,128:132,184:196
QTUR-1-1C,QTUR,1,1C,46.211,-74.1083,198:198,96:112,236:236,210:212,221:229,201:201,144:144,128:132,184:184
QTUR-1-1D,QTUR,1,1D,46.211,-74.1083,220:222,96:96,213:213,202:208,233:233,201:201,140:140,128:128,184:184
QTUR-1-1E,QTUR,1,1E,46.0045,-76.6989,188:198,96:112,234:241,208:210,227:233,199:201,144:146,132:138,192:204
QTUR-1-1F,QTUR,1,1F,46.0045,-76.6989,198:198,96:106,236:249,198:208,239:241,199:201,140:140,132:132,184:198
QTUR-1-1G,QTUR,1,1G,44.7336,-76.1527,198:198,96:96,236:236,208:208,239:239,201:201,140:146,132:132,184:184
QTUR-1-1H,QTUR,1,1H,44.7336,-76.1527,190:198,96:96,234:253,208:210,229:243,199:199,142:146,132:132,196:196
QTUR-1-1I,QTUR,1,1I,44.1321,-77.4974,198:198,96:96,238:241,208:210,227:229,201:201,142:146,132:132,190:200
QTUR-1-1J,QTUR,1,1J,44.1321,-77.4974,198:200,112:112,209:238,208:208,239:239,201:201,146:150,132:132,204:206
QTUR-1-1K,QTUR,1,1K,46.9304,-77.5626,198:198,96:96,209:238,208:208,227:227,201:201,142:142,132:132,196:196
QTUR-1-1L,QTUR,1,1L,46.9304,-77.5626,198:198,96:96,228:234,198:198,227:237,199:251,144:144,132:132,184:200
QTUR-1-1M,QTUR,1,1M,43.7436,-76.6187,198:198,96:112,211:211,210:210,237:247,199:199,140:144,128:132,184:204
QTUR-1-1N,QTUR,1,1N,43.7436,-76.6187,198:198,96:106,234:234,208:210,229:237,199:199,140:144,132:132,196:196
QTUR-1-1O,QTUR,1,1O,44.3717,-74.9161,198:200,96:106,213:234,210:210,229:229,199:199,140:144,132:132,196:196
QTUR-1-1P,QTUR,1,1P,44.3717,-74.9161,198:198,96:96,211:249,208:208,227:229,199:201,140:140,122:132,178:190
QTUR-1-1Q,QTUR,1,1Q,44.3771,-76.6637,190:198,106:106,251:257,208:208,229:233,199:199,144:146,132:135,198:200
QTUR-1-1R,QTUR,1,1R,44.3771,-76.6637,198:198,96:106,228:236,198:198,233:235,199:201,142:144,132:138,184:192
QTUR-1-1S,QTUR,1,1S,45.6425,-75.5491,190:198,96:106,232:232,196:210,231:233,199:199,142:146,132:138,184:192
QTUR-1-1T,QTUR,1,1T,45.6425,-75.5491,188:198,96:106,228:234,208:212,229:243,199:201,144:146,138:138,200:200
QTUR-2-2A,QTUR,2,2A,44.6991,-75.6949,198:200,96:106,232:249,210:210,225:229,199:199,144:144,132:135,196:196
QTUR-2-2B,QTUR,2,2B,44.6991,-75.6949,198:198,106:106,209:209,198:198,233:233,199:199,144:144,132:132,190:196
QTUR-2-2C,QTUR,2,2C,45.6717,-75.0469,198:198,106:106,209:209,178:198,229:229,199:199,140:140,132:132,190:190
QTUR-2-2D,QTUR,2,2D,45.6717,-75.0469,198:198,96:96,232:236,198:198,239:239,251:251,140:144,132:132,184:190
QTUR-2-2E,QTUR,2,2E,43.6825,-76.4965,198:198,96:106,230:238,206:208,233:237,201:201,144:146,135:135,194:194
QTUR-2-2F,QTUR,2,2F,43.6825,-76.4965,198:198,128:128,230:230,198:208,213:229,199:199,146:146,132:132,178:196
QTUR-2-2G,QTUR,2,2G,45.207,-75.8976,222:224,96:96,211:230,206:206,233:235,201:229,144:144,135:135,184:184
QTUR-2-2H,QTUR,2,2H,45.207,-75.8976,198:222,106:106,211:230,196:206,233:233,201:201,146:146,135:135,180:180
QTUR-2-2I,QTUR,2,2I,46.1926,-76.4577,198:198,106:112,211:228,196:208,221:239,201:201,144:144,132:132,184:196
QTUR-2-2J,QTUR,2,2J,46.1926,-76.4577,198:198,96:112,209:232,200:204,213:233,201:201,144:144,135:138,188:188
QTUR-2-2K,QTUR,2,2K,45.7863,-74.548,198:200,106:106,211:236,198:208,221:233,199:199,144:144,132:132,194:194
QTUR-2-2L,QTUR,2,2L,45.7863,-74.548,198:198,106:106,232:251,206:208,231:233,201:201,140:144,132:132,190:190
QTUR-2-2M,QTUR,2,2M,44.9672,-74.9168,186:198,96:106,211:230,196:208,229:229,201:201,140:142,132:132,192:192
QTUR-2-2N,QTUR,2,2N,44.9672,-74.9168,198:198,106:106,234:234,196:206,221:227,251:251,142:144,132:135,180:180
QTUR-2-2O,QTUR,2,2O,45.5094,-75.4839,198:212,96:106,234:236,208:220,233:239,199:199,144:144,132:132,190:200
QTUR-2-2P,QTUR,2,2P,45.5094,-75.4839,198:198,96:96,230:230,202:208,221:227,199:199,142:144,132:132,196:196
QTUR-2-2Q,QTUR,2,2Q,45.9182,-76.2672,198:198,96:96,228:236,196:206,233:233,199:199,144:144,132:132,196:196
QTUR-2-2R,QTUR,2,2R,45.9182,-76.2672,198:198,96:96,211:234,198:198,227:233,199:199,140:146,132:138,184:198
QTUR-2-2S,QTUR,2,2S,44.1404,-77.736,198:214,96:96,249:249,196:208,209:221,236:238,140:146,132:132,192:204
QTUR-2-2T,QTUR,2,2T,44.1404,-77.736,190:198,96:96,234:234,206:208,213:229,201:201,140:142,132:132,196:196
